new28_05_2022_14_10_09 озадаченность 28_05_2022_14_11_29
28_05_2022_14_11_35 спокойствие 28_05_2022_14_11_48
//---
29_05_2022_12_56_55 спокойствие 29_05_2022_12_57_41
//---
30_05_2022_02_14_52 тревожность 30_05_2022_02_15_25
30_05_2022_02_15_44 очарование 30_05_2022_02_15_57
//---
30_05_2022_11_08_29 бодрость 30_05_2022_11_08_53
30_05_2022_11_09_10 стыд 30_05_2022_11_09_21
//---
31_05_2022_02_04_44 злость 31_05_2022_02_04_53
31_05_2022_02_04_55 раздражение 31_05_2022_02_05_05
разочарование 31_05_2022_02_05_25
